XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
22.9375,29.765625,19.267871856689453,30.0,54.75,22.6875,27.453125,29.796875,29.328125
22.5625,29.0,18.925161361694336,29.0,52.375,22.6875,27.546875,28.96875,27.9375
22.796875,29.75,18.633224487304688,29.046875,52.0,22.6875,27.5,28.875,27.484375
22.78125,30.0625,18.760154724121094,29.5625,53.421875,23.21875,27.5625,28.84375,27.828125
22.65625,30.4375,19.12824821472168,29.546875,51.53125,23.703125,27.75,28.90625,27.75
23.0625,30.453125,19.077478408813477,29.3125,50.578125,23.8125,27.65625,28.703125,28.03125
22.78125,30.546875,18.569759368896484,29.015625,48.125,23.65625,28.1875,28.65625,28.03125
23.078125,31.5,19.12824821472168,29.734375,49.484375,23.625,28.609375,28.625,28.28125
23.15625,31.609375,19.34402847290039,30.09375,50.125,23.3125,28.15625,29.125,28.6875
23.5625,32.265625,20.207149505615234,30.59375,51.0625,23.890625,28.703125,29.609375,28.78125
23.3125,31.640625,20.092912673950195,30.875,52.59375,23.78125,28.578125,30.0,29.0
23.375,31.796875,19.750202178955078,30.671875,51.84375,23.859375,28.140625,29.65625,28.3125
23.1875,31.75,20.00406265258789,30.53125,50.53125,23.8125,28.375,29.625,28.875
23.25,31.8125,19.64866065979004,29.6875,48.5625,23.984375,27.84375,28.84375,28.140625
23.125,31.546875,19.902517318725586,29.171875,48.34375,23.90625,28.03125,28.515625,27.71875
22.796875,31.421875,20.029447555541992,29.046875,46.0,23.78125,27.515625,28.28125,27.59375
22.703125,31.453125,20.283306121826172,29.46875,47.8125,24.296875,27.984375,28.46875,27.09375
21.875,30.875,19.775588989257812,28.9375,47.03125,24.234375,27.515625,28.25,26.84375
21.53125,30.890625,19.699430465698242,28.78125,47.1875,24.3125,28.0625,28.03125,26.28125
21.765625,31.328125,20.10560417175293,29.296875,50.25,24.171875,28.265625,29.1875,26.484375
21.578125,32.265625,20.346771240234375,29.5,49.28125,23.9375,28.421875,29.5,27.109375
21.640625,31.96875,21.01949691772461,29.734375,51.5,24.0,28.625,29.3125,27.3125
22.0,30.875,21.88261604309082,29.953125,53.84375,23.171875,28.53125,30.03125,28.0625
